word,happs,stdDev
папе,6.68,1.22
ахахах,6.68,1.88
герои,6.68,1.13
независимость,6.68,1.17
цирк,6.68,1.19
пользу,6.68,1.11
миру,6.68,1.39
выздоравливай,6.68,1.15
подруги,6.68,1.08
правду,6.68,1.2
великая,6.68,1.25
cool,6.66,1.39
летом,6.66,1.17
интереснее,6.66,0.92
доверяю,6.66,1.04
игрушки,6.66,1.15
доходы,6.66,1.02
дедушка,6.66,1.08
выспалась,6.66,0.96
sexy,6.66,1.79
сына,6.66,1.12
желания,6.66,1.06
новый,6.64,1.01
честные,6.64,1.16
честь,6.64,1.16
merry,6.64,1.29
девушку,6.64,1.06
выжил,6.64,1.26
фантастика,6.64,1.17
ржу,6.64,1.72
легко,6.64,0.8
девушкой,6.64,1.1
приветик,6.64,1.35
родился,6.64,1.05
богом,6.64,1.51
молод,6.64,1.21
малышка,6.64,1.26
party,6.64,1.26
заботиться,6.64,1.06
справедливо,6.62,1.05
уважаемые,6.62,0.9
творчество,6.62,1.24
гости,6.62,1.09
кошка,6.62,1.29
играть,6.62,1.05
жених,6.62,1.19
hello,6.62,1.23
свет,6.62,1.26
молодежь,6.62,1.05
родины,6.62,1.31
елку,6.62,1.16
чисто,6.62,1.09
небо,6.62,1.28
ребенком,6.62,1.01
сбываются,6.62,1.09
well,6.62,1.24
детский,6.62,1.07
чистых,6.62,1.1
бесплатный,6.62,1.12
санта,6.62,1.37
свободных,6.62,1.14
играем,6.62,1.19
согласна,6.62,1.05
квн,6.62,1.21
бабушки,6.62,1.07
печенье,6.62,1.16
дружок,6.62,1.05
уважаю,6.6,0.99
любила,6.6,1.73
удобно,6.6,1.01
поэзия,6.6,1.07
познакомиться,6.6,0.81
песни,6.6,1.16
детских,6.6,1.01
доход,6.6,1.2
мечтал,6.6,1.03
папу,6.6,1.25
великого,6.6,1.12
free,6.6,1.29
спасение,6.6,1.11
творчестве,6.6,1.2
творчества,6.58,1.2
родину,6.58,1.39
модно,6.58,1.11
преимущества,6.58,1.11
звезда,6.58,1.05
петь,6.58,1.05
моря,6.58,1.16
живу,6.58,1.33
получилось,6.58,1.01
кот,6.58,1.16
весной,6.58,1.18
сердцу,6.58,1.26
сердца,6.58,1.16
плюс,6.58,1.09
вселенной,6.58,1.33
достиг,6.58,1.09
девочка,6.58,1.18
спорт,6.58,1.23
жизнью,6.58,1.37
ребёнком,6.58,1.25
концерт,6.58,1.21
приятель,6.58,1.11
мандарины,6.58,1.16
ёлку,6.58,1.11
пирог,6.58,1.18
молодых,6.58,1.2
правда,6.58,1.26
ярко,6.58,1.16
хахах,6.56,1.73
елка,6.56,1.18
подарите,6.56,1.18
близкие,6.56,1.07
ценность,6.56,0.88
правильный,6.56,1.05
девочки,6.56,1.09
будущее,6.56,1.07
пушкин,6.56,1.3
разум,6.56,1.01
достижений,6.56,1.05
вселенная,6.56,1.3
пожалуйста,6.56,1.11
живых,6.56,1.13
крутой,6.56,1.23
зарабатывать,6.56,1.3
респект,6.54,1.46
сынок,6.54,1.07
суббота,6.54,1.23
девушка,6.54,1.13
нравилось,6.54,1.09
подругой,6.54,0.97
беременна,6.54,1.49
культура,6.54,1.11
cute,6.54,1.39
сильная,6.54,0.95
живи,6.54,1.11
кошки,6.54,1.36
спасли,6.54,1.2
справедливости,6.52,1.15
культурных,6.52,1.01
marry,6.52,1.34
жене,6.52,1.2
окей,6.52,1.27
культурного,6.52,0.89
приглашение,6.52,0.97
шампанское,6.52,1.39
god,6.52,1.58
цветов,6.52,1.2
женщина,6.52,1.15
доверять,6.52,0.91
женщиной,6.52,1.07
здравствует,6.52,1.03
home,6.52,1.28
сексом,6.52,1.69
фестиваль,6.52,1.05
урожай,6.52,0.91
театр,6.5,1.22
близких,6.5,1.15
россия,6.5,1.15
девочку,6.5,1.22
достижения,6.5,1.04
песня,6.5,1.18
оранжевое,6.5,1.28
я,6.5,1.4
нового,6.5,0.95
страсть,6.5,1.37
женаты,6.5,1.2
сердце,6.5,1.11
вера,6.5,1.09
замуж,6.5,1.31
родилась,6.5,1.17
чистый,6.5,1.04
чистой,6.5,0.84
родине,6.5,1.2
замужем,6.48,1.36
ужин,6.48,0.99
интерес,6.48,0.86
спас,6.48,1.13
верить,6.48,1.01
достоинства,6.48,0.99
играет,6.48,1.03
детские,6.48,0.97
книги,6.48,1.16
богу,6.48,1.4
летать,6.48,1.22
научился,6.48,0.97
братья,6.48,1.11
отца,6.48,1.34
поиграть,6.48,0.91
девушке,6.48,1.09
игры,6.48,1.15
поют,6.48,1.18
кино,6.48,1.09
okay,6.48,1.2
помог,6.48,0.95
освобождения,6.48,1.13
общение,6.48,0.95
ребята,6.48,1.03
джентльмены,6.48,1.09
please,6.48,0.93
знакомства,6.48,1.01
детка,6.48,1.33
хлеб,6.46,1.23
дорогие,6.46,1.23
спокойствие,6.46,0.93
заработал,6.46,1.07
спасения,6.46,1.07
иисус,6.46,1.39
haha,6.46,1.33
жены,6.46,1.11
дамы,6.46,1.22
girls,6.46,1.16
вместе,6.46,1.27
quality,6.46,1.09
европа,6.46,1.33
женщины,6.46,1.18
расслабиться,6.46,1.01
девушек,6.46,1.16
женщинами,6.46,1.22
прогуляться,6.46,1.01
santa,6.46,1.34
совершенно,6.46,1.27
young,6.46,1.18
russia,6.46,1.22
повышение,6.46,1.13
помогать,6.46,0.95
новые,6.46,0.91
спасти,6.46,1.11
нравился,6.44,1.09
культурно,6.44,0.86
играй,6.44,1.05
брата,6.44,1.07
охотно,6.44,1.07
знание,6.44,1.2
ребятки,6.44,1.23
заработок,6.44,1.11
женщин,6.44,1.16
океан,6.44,1.21
умнее,6.44,0.88
художественной,6.44,1.07
ценности,6.44,1.09
художник,6.44,1.03
девочкой,6.44,1.07
google,6.44,1.21
круче,6.44,1.23
дорогуша,6.44,1.5
девочек,6.44,1.28
планета,6.44,1.33
вау,6.44,1.37
самая,6.44,1.18
live,6.44,1.21
lol,6.42,1.6
получше,6.42,0.78
повышению,6.42,1.16
воскрес,6.42,1.44
уверена,6.42,1.05
небесах,6.42,1.31
играют,6.42,1.11
прогресс,6.42,1.07
thank,6.42,1.21
настоящие,6.42,1.01
сестры,6.42,1.03
звезды,6.42,1.2
новую,6.42,0.95
yes,6.42,1.05
сестре,6.42,0.97
девченки,6.42,1.4
hope,6.42,1.18
познакомились,6.42,1.03
лидер,6.42,1.28
отец,6.42,1.21
культуры,6.42,1.11
озеро,6.42,1.14
денег,6.42,1.23
уверен,6.42,0.91
встречаться,6.42,1.05
защита,6.42,1.26
картинка,6.42,0.99
сильным,6.42,1.01
шанс,6.42,1.03
скидки,6.42,1.11
елки,6.4,1.09
удается,6.4,1.03
книга,6.4,1.12
верно,6.4,0.93
игра,6.4,1.12
ок,6.4,1.18
кота,6.4,1.31
воздух,6.4,1.23
чистого,6.4,0.9
концерте,6.4,1.2
heart,6.4,1.21
future,6.4,1.05
да,6.4,1.23
believe,6.4,1.09
сыну,6.4,1.16
желаю,6.4,0.95
борщ,6.4,1.11
май,6.4,1.18
bmw,6.4,1.41
снежинки,6.4,1.05
познакомился,6.4,0.83
заработать,6.4,0.93
гулять,6.4,0.9
энергии,6.4,1.07
light,6.4,1.03
рисовать,6.4,1.05
живого,6.4,1.03
святого,6.4,1.18
отцом,6.38,1.14
воля,6.38,0.85
культуре,6.38,1.1
woman,6.38,1.21
надеяться,6.38,1.19
эффективность,6.38,1.19
идеи,6.38,1.12
стихотворения,6.38,1.16
заплатили,6.38,1.29
домой,6.38,1.21
помогла,6.38,0.73
женщину,6.38,1.07
молодежи,6.38,0.97
зарплату,6.38,1.12
лошадь,6.38,1.21
кататься,6.38,1.07
деньгами,6.38,1.4
погулять,6.38,0.9
великой,6.38,1.16
искусства,6.38,1.14
париж,6.38,1.18
познания,6.38,1.1
лета,6.38,1.43
hi,6.38,1.28
великих,6.38,1.05
новая,6.38,1.1
природе,6.38,1.26
скидку,6.38,1.14
поддерживаю,6.38,1.07
справишься,6.38,0.97
папой,6.38,1.09
благослови,6.38,1.37
играю,6.38,0.99
чувствовать,6.38,1.07
театре,6.38,1.1
секса,6.38,1.97
человек,6.36,1.17
живешь,6.36,1.14
money,6.36,1.32
культурной,6.36,1.14
миллион,6.36,1.35
бог,6.36,1.68
гость,6.36,0.94
леди,6.36,1.26
встретимся,6.36,0.98
ресторан,6.36,1.16
париже,6.36,1.1
доходов,6.36,0.94
сад,6.36,1.22
жизни,6.36,1.14
пятница,6.36,1.26
фильмы,6.36,1.17
согласен,6.36,1.01
новым,6.36,0.96
wow,6.36,1.22
встретиться,6.36,0.92
настоящий,6.36,0.83
song,6.36,1.16
живете,6.36,1.31
кушайте,6.36,0.98
internet,6.36,1.24
star,6.36,1.21
очень,6.36,1.16
дом,6.36,1.32
океана,6.36,1.17
завтрак,6.36,1.17
художественных,6.36,0.98
настроение,6.36,1.06
wish,6.36,1.26
помогли,6.36,0.92
women,6.36,1.16
важный,6.36,1.05
дa,6.36,1.27
активных,6.36,0.98
бассейн,6.36,1.03
деньги,6.34,1.17
чести,6.34,1.17
возможностей,6.34,1.04
юг,6.34,1.22
невероятные,6.34,1.19
обновление,6.34,1.04
энергия,6.34,1.1
помогает,6.34,0.8
желаний,6.34,1.1
дохода,6.34,1.14
готово,6.34,1.08
girl,6.34,1.19
знакомый,6.34,0.96
братом,6.34,1.21
мира,6.34,1.26
ценю,6.34,1.02
новой,6.34,1.04
прибыли,6.34,1.1
поэт,6.34,1.14
христа,6.34,1.52
настоящая,6.34,1.08
искусстве,6.34,1.06
дома,6.34,1.19
урожая,6.34,0.96
качество,6.34,1.04
yeah,6.34,1.27
молодого,6.34,0.98
кафе,6.34,1.08
небеса,6.34,1.17
современной,6.34,0.94
позаботиться,6.34,1.14
театра,6.34,1.08
независимости,6.34,1.21
songs,6.34,1.1
поет,6.32,1.04
безопасно,6.32,1.19
заслужил,6.32,0.94
эффективности,6.32,1.02
светлость,6.32,1.3
потенциал,6.32,1.2
крошка,6.32,1.25
успеваю,6.32,0.98
гол,6.32,1.38
верю,6.32,0.98
удастся,6.32,1.08
развития,6.32,1.06
пушкина,6.32,1.13
зачёт,6.32,1.25
огромной,6.32,1.17
муж,6.32,1.3
чувство,6.32,1.06
картина,6.32,1.04
восстановление,6.32,0.98
ребят,6.32,1.06
спокойной,6.32,1.02
большое,6.32,1.08
cat,6.32,1.13
образование,6.32,1.1
жену,6.32,1.17
интернета,6.32,1.22
сильное,6.32,1.15
сестру,6.32,0.89
идея,6.32,1.0
зарплаты,6.32,1.24
умею,6.32,0.87
художника,6.3,1.05
кушать,6.3,0.97
способен,6.3,0.99
добиться,6.3,0.91
женщине,6.3,1.15
фильм,6.3,1.13
помогут,6.3,1.02
утро,6.3,1.05
высоцкий,6.3,1.05
стихотворение,6.3,0.81
стихи,6.3,1.04
картинки,6.3,0.99
чаю,6.3,1.11
ёлки,6.3,1.11
истины,6.3,1.02
современная,6.3,0.99
великому,6.3,1.04
встретились,6.3,0.99
озера,6.3,1.27
сработало,6.3,1.18
известный,6.3,0.95
пиццу,6.3,1.2
пляже,6.3,1.23
активность,6.3,0.91
снежок,6.3,0.99
сила,6.3,1.27
духовного,6.3,1.23
библиотека,6.3,1.07
энергию,6.3,1.04
русскими,6.3,1.05
небес,6.3,1.27
play,6.3,0.95
знаю,6.3,1.15
skype,6.3,1.09
встреча,6.3,0.89
мастер,6.3,1.07
большой,6.3,1.02
культуру,6.3,1.07
ооочень,6.3,1.33
повышении,6.3,1.11
хоккей,6.3,0.99
гуд,6.28,1.13
бога,6.28,1.58
новыми,6.28,1.03
новых,6.28,0.93
посплю,6.28,1.11
гостей,6.28,0.99
девчонка,6.28,1.16
мире,6.28,1.11
ума,6.28,1.25
деда,6.28,1.14
hearts,6.28,1.25
смогу,6.28,0.9
шансы,6.28,1.09
book,6.28,1.18
настоящей,6.28,0.93
true,6.28,1.18
game,6.28,1.13
бал,6.28,1.01
миллионы,6.28,1.29
брату,6.28,0.99
совершенствования,6.28,1.05
сотрудничество,6.28,1.09
понимание,6.28,1.01
получается,6.28,1.07
babe,6.28,1.2
впечатление,6.28,1.03
песню,6.28,1.14
мужем,6.28,1.23
храм,6.28,1.2
развитие,6.28,1.16
освободить,6.28,1.11
максимум,6.28,1.25
активной,6.28,0.99
огромный,6.28,1.05
открытие,6.28,1.03
домик,6.26,1.12
перспективы,6.26,1.01
пап,6.26,1.21
зачет,6.26,1.45
hotel,6.26,1.1
неплохо,6.26,0.75
лав,6.26,1.58
шампанского,6.26,1.6
петербург,6.26,1.24
справлюсь,6.26,1.01
высшего,6.26,0.94
порядок,6.26,1.01
платят,6.26,1.29
веры,6.26,1.24
возможности,6.26,1.17
поддержал,6.26,0.94
огромные,6.26,1.17
женщинам,6.26,0.99
огромное,6.26,1.19
женский,6.26,1.21
идею,6.26,0.96
сочи,6.26,1.17
концерта,6.26,0.92
стих,6.26,1.07
сыном,6.26,1.21
принц,6.24,1.17
литературы,6.24,1.04
товарища,6.24,1.1
россии,6.24,1.3
миром,6.24,1.02
чувствуешь,6.24,1.22
английский,6.24,1.1
liked,6.24,1.25
спать,6.24,1.44
ясно,6.24,1.0
игру,6.24,0.96
art,6.24,1.32
высокая,6.24,0.98
морской,6.24,1.19
лидеры,6.24,0.94
майами,6.24,1.39
легкой,6.24,1.0
человечество,6.24,1.39
прогресса,6.24,1.06
читать,6.24,1.12
поэтов,6.24,0.98
яблоко,6.24,1.02
ценностей,6.24,1.04
пригласили,6.24,0.87
живописи,6.24,1.02
new,6.24,1.08
позабочусь,6.24,0.87
кофе,6.24,1.44
отцу,6.24,1.1
ахах,6.24,1.84
вперёд,6.24,0.87
english,6.24,1.06
увеличения,6.24,1.06
природы,6.24,1.02
online,6.22,1.11
тост,6.22,1.22
знакомые,6.22,0.76
пригласил,6.22,0.89
единственная,6.22,1.09
вода,6.22,1.15
помогу,6.22,0.86
открыто,6.22,0.89
mom,6.22,1.18
моложе,6.22,0.97
парк,6.22,0.95
человечества,6.22,1.18
художественного,6.22,1.11
класс,6.22,1.36
помощь,6.22,1.06
субботу,6.22,1.04
сильные,6.22,1.04
можешь,6.22,1.02
умеет,6.22,0.79
каток,6.22,1.23
веришь,6.22,0.97
вовремя,6.22,0.93
расслабься,6.22,1.04
санкт-петербург,6.22,1.2
поэзии,6.22,1.07
увидеться,6.22,1.28
парень,6.22,1.09
ноутбук,6.22,1.07
художников,6.22,1.13
можно,6.22,0.95
высших,6.22,1.09
гостях,6.22,1.0
певица,6.22,0.95
успел,6.22,1.06
пати,6.22,1.36
июле,6.22,1.18
песен,6.2,1.16
просвещения,6.2,1.07
литература,6.2,0.97
movie,6.2,1.07
встречать,6.2,0.7
лес,6.2,1.25
поддержки,6.2,0.78
накопления,6.2,1.07
шоу,6.2,1.28
поем,6.2,1.07
встречаются,6.2,0.93
чемпионат,6.2,1.03
научить,6.2,0.9
высокого,6.2,0.95
