title,tag,artist,views,lyrics,happiness_from_lyrics,source,domain,chart,region,date,position,url,scraped_at,track_name,artists,album_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,playlistname,v_audio_raw,a_audio_raw,v_audio_norm,a_audio_norm,lyrics_language,h_lyrics_raw,h_lyrics_01,h_lyrics_norm,h_track,catharsis_score
Piel Dorada Bonus Track,pop,Anglica Rivera,8.0,"Tengo ojos negros, piel canela y la mirada del que creció junto al
Mar La brisa del mar fue mi país y anclada ahí en la arena se quedo
Mi raíz Soy esa sirena que se le ha
Escapado al mar y hoy me suelen llamar...
Piel dorada tan dorada como el sol de madrugada
Como tierra mojada fui pintada por el sol piel dorada
Piel dorada como rayo de luz en mi ventana como soplo de sol en la
Mañana piel dorada piel dorada Crecí entre las olas y la arena y en
El tronco de una palma pinté el primer te amo Soy esa sirena
Que se le ha escapado al mar y hoy me suelen llamar Piel dorada...",0.3489829171448946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winnipeg,pop,Martin Tielli,66.0,"When the wind blows 50? below
I'll be out walkin'...

In Winnipeg
The avenue of too much coffee
Meets the avenue
Of the perfect choice
That blows without regret

Nothing too big

I've had coleslaw...

Nothing too small!

...then I've had COLESLAW

We sat on the steps
Of the Albert Hotel
This'd be the sweet life
This be the sweet death
Of all of us tonight
I've had some

In Winnipeg
The sun comes up
Over a prostrate student body
A volunt'ry lobotomy
To toast the coming day

Nothing too big

Let's grab a beer on off-sale

Nothing too small;

Two bucks a brown-pop

We sat on the steps
Of the Albert Hotel
This'd be the sweet life
This be the sweet death
Of all of us tonight

I've had a few. I've had some
On any day
Every day
In Winnipeg
...and so we toast the toastmaster

We went from being
The toast of the town

You were the band
-so angry we fogot to drink

To being the TOAST of the town

""You posers get the fuck off stage!""

We were jamming at the Blue Note
With the Guess Who

You took me to your zoo
Because you saw me smiling
Asleep upon your couch
I got real small
When the party turned to cards
I was feeling you-
So sweet and pure

On any day
On any day
You asked me to move there
But I was too afraid to change
I'd rather do nothing
I'd rather stay the same

I've had some
So sweet and pure",0.35072299651801586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simple  Lovely,pop,m-flo loves KUMI KODA,2.0,"[m-flo loves 倖田來未「Simple & Lovely」歌詞]

CAN IT BE ALL SO SIMPLE AND LOVELY
あの頃 seems FAR AWAY
今でも I wish you were next to me
OH-OH-OH
君が離れるほどに
見えてきたよ I SEE
張り裂けそう I CAN'T TAKE NO MORE
OH-OH-OH

当たり前だと感じていたこの
Days that be gone, days that belonged to us　二人
もうサヨナラ
That's why you long DISS　してたクセに笑ってた my オヤジギャグも
It don't mean NOTHING to me NOW。。。だって
宛無き LOVEだったけどSMILEしてたときの二人は

JUST ONE WORD...　ふいに出した言葉で
JUST ONE WORD...　君を傷つけてたね
NOW I KNOW...　その心に積み重なる PAIN
BOY I REALIZE NOW...　取り除けたら
CAN IT BE ALL SO SIMPLE AND LOVELY
あの頃 seems FAR AWAY
今でも I wish you were next to me
OH-OH-OH
君が離れるほどに
見えてきたよ I SEE
張り裂けそう I CAN'T TAKE NO MORE
OH-OH-OH

I tried to CONNECT I wanted to FORGET
細かいこと気にせず take it to the NEXT
From A to the Z　全て尽くして
Never mixed LOVER & SEX　でもそのままSLEPT
そのままこの俺 DISRESPECT
傷 carry しながらgonna LIVE WITH THIS
好みのflicks からkicks　知ってるkinda CHICK
CONFLICT　あってもwe can FIX
But that's THEN　今NOW, thing's　甘くねえ
Let me move forward　二人のchance is SLIM
でも今わかった your 弱点
NOW you gonna burn slow like a cigarette
～～～～～～～～～～～～
でも実は
All day　待ってるCALLS from ya　どうしたら
PRIDE　捨てて TRYして　より取り戻せたら
パーフェク！ya HEARD ME？
CAN IT BE ALL SO SIMPLE AND LOVELY
あの頃 seems FAR AWAY
今でも I wish you were next to me
OH-OH-OH
君が離れるほどに
見えてきたよ I SEE
張り裂けそう I CAN'T TAKE NO MORE
OH-OH-OH

ホントは今でも LONELY AND I KNOW IT BY NOW (OH-OH-OH)
こんな気持ちでいるなら SAY IT LOUD (OH-OH-OH)
君に届くと信じて sing this SONG (OH-OH-OH)
またSTARTできるなら君に誓う (OH-OH-OH)

CAN IT BE ALL SO SIMPLE AND LOVELY
あの頃 seems FAR AWAY
今でも I wish you were next to me
OH-OH-OH
君が離れるほどに
見えてきたよ I SEE
張り裂けそう I CAN'T TAKE NO MORE
OH-OH-OH",0.6798237189650536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Inside Your Heart Live,pop,Jon Secada,21.0,"I´m lost inside your heart
But you couldn´t even find me
Where you hardly ever go
That´s what I´ve come to know
I´m lost inside your heart

I'm lost inside your heart
I'm sheltered by a feeling
And what no one else can see
That´s what you gave to me
I'm lost inside your heart

And here
I'll stay until forever said and done
My dream came true the day I met you
(You´re everything to me)
Our love is all that I believe in
No matter where you are
Oh no
Close your eyes
And I´ll be there somewhere
Lost inside your heart
Nothing else matters my love
I don´t care, don´t you worry about tomorrow
When it gets dark
I´ll follow your star

Na na na na na na na
Na na na na na
Our love is all that I believe in
And here
I'll stay until forever said and done
I´ll stay, baby
My dream came true the day I met you
(You´re everything to me)
Our love is all that I believe in
No matter where you are
Close your eyes
And I´ll be there somewhere
Lost inside your heart

Lost inside your heart",0.7556013315916061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something Out Of Nothing Cloud Nine Who Do You Love Freestyle 2014 BBE YWOENT,rap,MultiMilanaire,4.0,...,0.41997382044792175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mais Um,rap,TANB & Dikas,6.0,"[Refrão: TANB]
Já tens namorado e queres ter o meu ombro
Tento escapar mas olho em frente e tás tu
Já conheço os teus lábios sem saber o teu nome
Baby será que sou apenas mais um
Já tens namorado e queres ter o meu ombro
Tento escapar mas olho em frente e tás tu
Já conheço os teus lábios sem saber o teu nome
Baby será que sou apenas mais um

[Verso 1: Dikas]
Eu tava sossеgado, sentado no sofá calado
Até que chegas já tardе à festa de aniversário
Admito q fiquei parvo, mas quieto e reservado
Por quem trazias ao teu lado, pensei: ""cara de otário""
Chillei pela festa naquela que não te vi a entrar
Fumei uma erva à janela só para não pensar (mas)
Pensei que é desta que a bela consegue-me enganar
Guardei o que resta da erva e voltei-me pro meu lugar
Sou apresentado, por quem nos tinha convidado
Faço-me de engraçado finjo não tar interessado
Mas tu ficas ao meu lado pa me fazer intimidado
Não largas os meus olhos e agarras o namorado
Seguro o scotch a pensar que sou mais forte
Chegas-te perto e mordes o lábio tu é que escolhes
Olho-te e sobes a camisola e o decote
Abre suave e o scotch faz-me achar ser granda boss
[Refrão: TANB]
Já tens namorado e queres ter o meu ombro
Tento escapar mas olho em frente e tás tu
Já conheço os teus lábios sem saber o teu nome
Baby será que sou apenas mais um
Já tens namorado e queres ter o meu ombro
Tento escapar mas olho em frente e tás tu
Já conheço os teus lábios sem saber o teu nome
Baby será que sou apenas mais um

[Verso 2: Dikas]
Olho e desmarco em direcção ao wc
Tu dizes ao namorado que já vens e não sei quê
Tá ocupado distraído com a Tv
Tou interessado, não o digo mas tu vês
Quando vens ao wc nem sequer pedes
Agarras-me e dizes: ""sei que tu também me queres""
Sugeres o apetite que ao teu se assemelha
Tu queres rimar no meu beat e por pause no teu playa
Sem cara feia mas cara podre eu tou louco
Eu beijo-te o corpo todo, tu tremes e dás troco
A tua cintura faz-me porco mão no cinto beijo-te o ombro
Vejo prazer no rosto, isto dá-te gozo
Sorris enquanto a tua mão viola a minha berguilha
Feliz só quando a minha mão descobre a tua vagina
Quis ir avante mas não em casa da nossa amiga
Eu peço-te o número mas tu dizes que nunca me viste na vida
[Refrão: TANB]
Já tens namorado e queres ter o meu ombro
Tento escapar mas olho em frente e tás tu
Já conheço os teus lábios sem saber o teu nome
Baby será que sou apenas mais um
Já tens namorado e queres ter o meu ombro
Tento escapar mas olho em frente e tás tu
Já conheço os teus lábios sem saber o teu nome
Baby será que sou apenas mais um",0.3070408847803871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passing By,pop, (Kumi Koda),5.0,"倖田來未「Passing By」の歌詞

あなただけ　见つめてる　（I’m looking for you）
谁と一绪にいても
忘れないでほしい（Can you see it?）
今も想っていると（I’m still here）

あなたに学んだ事　爱しすぎると
泣いてしまうんだね…　but still…

Everyday I see her and pass her by（会いたいよ　baby）
Nothing can replace her but she’s not mine（いつまでも　I love you）
If things were different she’d be by my side（连れ去ってよ）
So everyday I see her and pass her by…by…

You see. All I want is a chance to feel real within
I want to feel this love that I’m feelin’
I'm missing out on love so true my hearts grown cold and
Babe the only cure is you

最后の恋だった（I wish she could be right here）
终わりなんて　ないはずだった（so weird）
今だって　信じてる（I see you I see you,I see me I see me）
同じ気持ちだと
たとえ　伤つくかもしれないけど
伝えてほしい　本当の事を

Everyday I see her and pass her by（会いたいよ　baby）
Nothing can replacе her but she’s not mine（I want you　だけど）
If things wеre different she’d be my side（连れ去ってよ）
So everyday I see her and pass her by…by…

You see. All I want is a chance to feel real within
I want to feel this love that I’m feelin’
I'm missing out on love so true my hearts grown cold and
Babe the only cure is you

教えて　永远の爱が欲しい
あの日の过ちは　间违いだと　everday

Everyday I see her and pass her by（会いたいよ　baby）
Nothing can replace her but she’s not mine（いつまでも　I love you）
If things were different she’d be by my side（连れ去ってよ）
So everyday I see her and pass her by…by…

You see. All I want is a chance to feel real within
I want to feel this love that I’m feelin’
I'm missing out on love so true my hearts grown cold and
Babe the only cure is you",0.7094397386536002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back To School,rap,Sick Animation,285.0,"[Marc M]
Yo, check it out
Lemme break it down for you
Summertime's over and it's back to school
Time to get excited about learning
What's up with that war in Iraq?

Yo, the bus rolled in and it's 7AM
The first day of school's where my story begins
My momma packed a lunch but forgot the chips
And my brand new pair of JNCOs got a case of the rips
Sat there for a moment seriously frustrated
Ate my lunch, went to class (but hated it)
It's the doo doo pants, and it's your boy like whoa
Couldn't hold it for an hour, positively no
So I prayed for the bell but it never came
My license plate says FRESH but my jersey says SHITSTAIN
Now I'm setting up for class like a dunce
Smelling like a dump truck full of dirty cunts

Yo, check it out
Lemme break it down for you
Summertime's over and it's back to school
Time to get excited about learning
What's up with that war in Iraq? [x2]
[Stamper]
Yo, it's back to school and I'm having a blast
I can't wait for my very first class
I got my #2 pencil and my loose leaf shiff
My dick's so fucking hard I can't wait to go to class
Back to school sales had me dressed like a prince
Mom took me to Wal-Mart and spared no expense
And I just can't wait to get my fash-on
I go to school to learn but looking good's my pass-ion
So here we go, it's Monday morning and I'm waking
I grab me some scrambled eggs and some bacon
Ran to the curb but the bus was late
Me and my momma had to regulate
So we jumped in the van, didn't waste a minute
Did I mention that my eggs had ham up in it?
Yo, my mom don't fuck around when it comes to omelettes
Everything that chick makes is pretty much the bomblette

[Marc M]
Yo, check it out
Lemme break it down for you
Summertime's over and it's back to school
It's time to get excited about learning
What's up with that war in Iraq? [x2]

[Stamper] (Marc M)
Man, summertime's over and it sucks to be me
Cuz I gotta go to classes I hate like P.E
Where the other dudes laugh at my inability
When it comes to any sports or physical activity
I gotta run around the track inthe back of the gym
But I walk cuz I'm fat plus I don't wanna swim
In the pool, in the gym, cuz the girls see my tits
And they point and they laugh cuz a dude has tits
Fucking bitch, I'm the bomb at computer shit
(Sluts rubbing up on my dick with MySpace questions)
And I'll keep you guys in check with my chess club buddies
(Steal my lockermate's shorts for the jack off session)
Gripping lunch tickets, everybody laughing at me
By the end of the day, I'll probably get my ass beat
Cuz I dress like a faggot playing Magic: the Gathering
The trading card game full of warriors and wizards
[Marc M]
Yo, check it out
Lemme break it down for you
Summertime's over and it's back to school
It's time to get excited about learning
What's up with that war in Iraq? [x2]",0.24935817873726288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Echoes of the Roman Ruins,pop,Jesper Kyd,765.0,"[Instrumental]

Aetas sancto Rome aetas nam regna
Aetas sancto Rome aetas nam regna risus omnia licita
Risus omnia licita",0.33504518866539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once or Twice,pop,Holly Near,248.0,"Sometimes you say a look will cross my eye
While we're sitting close to touch and talking
Like my heart is saying, don't go it all the way
Save that kind of feeling for another day
That kind of loving can make a traveler stay
Sometimes you say a look will cross my eye
While I sit alone and you are playing
Like my brain is saying don't play that song today
Not while I'm trying to pack and get on my way
That kind of music can make a fiddler stay
I guess I could get up and I would walk right out the door
And maybe I would forget you before I reach the highway
But sometimes a loving look comes across your eye
You're the sweetest thing that's ever touched me
I'm wishing I had met (loved) you later on in my life
But damned if your arms around me don't feel nice
Maybe if it happens once it can happen twice",0.44207100942730904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So Sorry Dear,country,Two Poor Boys,54.0,"What can I say, after I say I'm sorry?
What can I do to prove to you that I'm sorry?
I didn't mean to ever be mean to you, you, you, you
If I had, dear, I wouldn't feel like I do, do, do, do
I was all alone, quite long, well, I don't blame you
Why should I take somebody like you and shame you
I know that I made you cry, and I'm so sorry, dear
So, what can I say, after I've said I'm sorry?

What can I say, after I say that I'm sorry?
What can I do to prove to you that I'm sorry?
I didn't mean to ever be mean to you, you, you, you
If I had, dear, I wouldn't feel like I do, do, do, do
I was all alone, quite long, well, I don't blame you
Why should I take somebody like you and shame you
I know that I made you cry, and I'm so sorry, dear
So, what can I say, after I've said I'm sorry?

What can I say, after I say that I'm sorry?
What can I do to prove to you that I'm sorry?
I didn't mean to ever be mean to you, you, you, you
If I had, dear, I wouldn't feel like I do, do, do, do
I was all alone, quite long, well, I don't blame you
Why should I take somebody like you and shame you
I know that I made you cry, and I'm so sorry, dear
So, what can I say, after I've said I'm sorry?",0.45170476846396923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statues Amidst A Frozen Sand Of Time,pop,Yearning (FIN),90.0,"Through the eyes of suffering
They've seen it all - the frames of being here
When time draws near and everything is closing
Life has remained the same as it used to be

Shadows are falling onto the plains that always were
Now and then weeping and bleeding again
Towards the nightfall walking in rain that never ends
The hours keep crawlings until the end

Through the eyes of suffering
They watch the end of life now coming
Its icy claws flicker in the dark
When life is through they're coming for you",0.7900649700313807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
